title,authors,subjects
Always room for one more,Sorche Nic Leodhas,"Sharing,Juvenile poetry,Texts,Travelers,Scottish Folk songs,Generosity,Scots Folk songs,Reciprocity (Psychology),Caldecott Medal,Stories in rhyme,Kindness,Folk-songs, Scots,Juvenile literature,Biography,Artists,Family,Folk music,Juvenile fiction,Scotland,Folk songs,Picture book,Caldecott Medal books,Children's fiction,Picture books,Nursery rhymes,Folk poetry, Scottish,Hospitality,Scottish Folk poetry,Family life, fiction,Music, fiction,collectionID:caldecott60,Accessible book,Protected DAISY"
The Tiger Who Came to Tea,Judith Kerr,"Picture books,Food,Tigers,Fiction,Children's stories,Tiger,Juvenile fiction,Tiger, fiction,Children's fiction,Afternoon teas,Tea,Tijgers,Bezoekers,Stories for children,Hunger,Food, fiction,Accessible book,Protected DAISY"
Curious George Flies a Kite,H. A. Rey,"monkeys in fiction,Juvenile fiction,Children's stories,Fiction,Kites,Monkeys,Curiosity,Children's fiction,Kites, fiction,Monkeys, fiction,Curious george (fictitious character), fiction,Bilingual,Cometas (Aeronautica),Monos,Spanish language materials,Ficción juvenil,Libros bilingües,Friendship, fiction,Rabbits, fiction,Picture books for children,Picture books,Accelerated Reader 1.3.,Adventure and adventurers, fiction,Accessible book,Protected DAISY"
Jessica,Katherine Kellgren,"Imaginary playmates,Fiction,Juvenile fiction,Children's fiction,Imagination, fiction,Friendship, fiction,Picture books,Imaginary companions,Accessible book,Protected DAISY"
A Weekend With Wendell,Kevin Henkes,"Fiction,Mice in fiction,Play,Play in fiction,Mice,Friendship,Friendship in fiction,Children's fiction,Play, fiction,Mice, fiction,Friendship, fiction,Juvenile fiction,Picture books,Accessible book,Protected DAISY"
"Llama, Llama Red Pajama",Anna Dewdney,"Picture books,Llamas,Fiction,Stories in rhyme,Bedtime,Mother and child,Juvenile fiction,Animals,Family,Mammals,Bedtime & Dreams,Mother-child relationship,Parents,JUVENILE FICTION,Children's Books/Baby-Preschool,New York Times bestseller,nyt:picture_books=2011-10-01,Phonics,Llamas, fiction,Children's fiction,Mother and child, fiction,Bedtime, fiction,Madre e hijo,Ficción juvenil,Hora de acostarse,Accessible book,Protected DAISY"
Five Little Monkeys Jumping on the Bed,Eileen Christelow,"Spanish language materials,Children's poetry,Poetry,Juvenile fiction,Bilingual,Counting,Monkeys,Nursery rhymes,Counting books,Children's fiction,Monkeys, fiction,Animals, poetry,Stories in rhyme,Big books,Picture books,Accessible book,Protected DAISY"
The biggest house in the world,Leo Lionni,"Children's stories,Fiction,Italian language materials,Juvenile fiction,Picture books,Snails,Children's fiction,Houses, fiction,Inter-American Development Bank,Accessible book,Protected DAISY"
The boy who was followed home,Stephen Kellogg,"Children's stories,Fantasy,juvenile fiction,children's books,picture books,hippopotamus,hippopotami,giraffe,giraffes,Boys, fiction,Children's fiction,Child and youth fiction,Fantasy fiction,Schools, fiction,Accessible book,Protected DAISY"
The People Could Fly,Virginia Hamilton,"African Americans,Tales,Slavery,Folklore,Books on compact disc,Juvenile literature,Slavery -- Folklore,African Americans -- Folklore,Folklore -- United States,1000blackgirlbooks,African americans, folklore,Folklore, united states,Children's fiction,Slavery, fiction,Picture books,Accessible book,Protected DAISY"
Grizzwold,Syd Hoff,"Bears,Juvenile fiction,Fiction,Children's fiction,Picture books,Bears, fiction,Readers,Accessible book,Protected DAISY"
Mama Rex & T,Rachel Vail,"Play,Tyrannosaurus rex,Halloween,Fiction,Dinosaurs,Lost children,Cooperativeness,Best friends,Fear,Mother and child,Picture books,Mothers and sons,Grocery shopping,Accessible book,Protected DAISY"
"Kleiner Eisbär, wohin fährst du?",Hans De Beer,"Missing children,Bears,Juvenile fiction,Fiction,Lost children,Polar bear,Spanish language materials,Pictorial works,Niños desaparecidos,Ficción juvenil,Osos,Picture books,Children's Books/Ages 4-8 Fiction,Children: Grades 1-2,Children: Kindergarten,Action & Adventure - General,Animals - Bears,Juvenile Fiction / Action & Adventure,Animals - General,Sports & Recreation - General"
Today is Monday,Eric Carle,"Texts,Songs and music,Food,Children's songs,Juvenile literature,Songs,Erna hrung,Tiere,Kinderlied,Montag,Picture books,Food, juvenile literature,Accessible book,Protected DAISY"
The Princess and the Wizard,Julia Donaldson,"Pictorial worksJuvenile fiction,Juvenile fiction,Wizards,Magic,Princesses,Children's fiction,Princesses, fiction,Wizards, fiction,Magic, fiction,Picture books,Accessible book,Protected DAISY"
Hey Duggee,Hey Hey Duggee,"Children's fiction,Picture books"
Lentil,Robert McCloskey,"Fiction,Harmonica,Juvenile fiction,Jealousy,Boys,Musicians,Heroes,Singing,Parades,City and town life,Children's fiction,Harmonica, fiction,Picture books,Accessible book,Protected DAISY"
"Petunia, beware!",Roger Duvoisin,"Fiction,Geese,Petunia (Fictitious character : Duvoisin),Children's stories,Children's fiction,Picture books,Accessible book,Protected DAISY"
The Incredible Book Eating Boy,Oliver Jeffers,"Food habits,Hábitos alimenticios,Ficción juvenil,Libros,Books,Juvenile fiction,Books and reading,Humorous stories,Fiction,Eating customs,Picture books for children,Children's fiction,Senses and sensation, fiction,Food, fiction,Books, fiction,Hunger,Pictorial works,Picture books,Accessible book,Protected DAISY"
How to Catch a Star,Paul McGann,"Fiction,Stars,Stars -- Fiction,Juvenile fiction,Children's stories, English,Pictorial works,Children's fiction,Stars, fiction,Picture books,Toy and movable books,Accessible book,Protected DAISY"
The secret life of squirrels,Nancy Rose,"Schools,Juvenile fiction,Squirrels,First day of school,Teachers,Children's fiction,Teachers, fiction,Schools, fiction,First day of school, fiction,Squirrels, fiction,Cousins,Friendship,Fiction,Picture books,Love, fiction,Valentine's day, fiction,Fantasy,Photography,Pets,Romance fiction,Valentine's Day,Love,JUVENILE FICTION,Animals,Holidays & Celebrations,Holidays,Accessible book,Protected DAISY"
Let's Be Enemies,Janice May Udry,"Friendship,Fiction,Juvenile fiction,Children's fiction,Friendship, fiction,Picture books"
Dandelion,Jerry Terheyden,"Fiction,Lions,Lion,Juvenile fiction,Dandies,Animals,Folly,Pride and vanity,Parties,Friendship,Accelerated Reader 3.1.,Lion, fiction,Children's fiction,Picture books,Accessible book,Protected DAISY"
Zen Shorts,Jon J. Muth,"Giant panda,Brothers and sisters,Storytelling,Bears,Juvenile fiction,Fiction,Siblings,Pandas,Children's fiction,Short stories,Pandas, fiction,Storytelling, fiction,Buddhist Folktales,Picture books,Bears, fiction,Brothers and sisters, fiction,collectionID:caldecotthonor00,Spanish language materials,Accessible book,Protected DAISY"
The Big Sneeze (Early Bird),Ruth Brown,"Humorous stories,Barns,Juvenile fiction,Sneezing,Farm life,Fiction,Children's fiction,Family life, fiction,Children's Books -- Literature,Farm life, fiction,Picture books,Accessible book,Protected DAISY"
Henry and Mudge and the Careful Cousin,Cynthia Rylant,"Picture books,Dogs in fiction,Juvenile fiction,Cousins in fiction,Fiction,Orderliness in fiction,Cousins,Orderliness,Dogs,Children: Grades 1-2,Children's fiction,Dogs, fiction,Mudge (fictitious character), fiction,Accessible book,Protected DAISY"
A very special house,Maurice Sendak,"Stories in rhyme,Juvenile fiction,Fiction,Imagination,Home,Dwellings,Houses,collectionID:caldecotthonor50,Children's fiction,Picture books,Houses, fiction,Folklore, united states,Accessible book,Protected DAISY"
Georgie,Robert Bright,"Fiction,Ghost stories,Ghosts,Haunted houses,Spanish language materials,Juvenile fiction,Cuentos de fantasmas,Picture books,Haunted places,Accessible book,Protected DAISY"
What the Ladybird Heard Next,Julia Donaldson,"Outlaws,Animal sounds,Stories in rhyme,Ladybugs,Juvenile fiction,Domestic animals,Robbery,Children's stories,Pictorial works,Children's fiction,Picture books,Ladybugs, fiction,Plays,Children's plays,Student activities,Creative activities and seat work,Accessible book,Protected DAISY"
Sugarlump and the Unicorn,Julia Donaldson,"Unicorns,Juvenile fiction,Merry-go-round horses,Rocking horses,Wishes,Fiction,Children's fiction,Picture books,Toy and movable books,Unicorns, fiction,Horses, fiction,Accessible book,Protected DAISY"
The surprise party,Pat Hutchins,"Communication,Animals,Fiction,Children's stories,Mice,Parties,Children's fiction,Picture books,Animals, fiction,Communication, fiction,Accessible book,Protected DAISY"
Roses Sing on New Snow: A Delicious Tale,Paul Yee,"Children: Grades 4-6,Chinese Cookery,Chinese Americans,Fiction,Speeches, addresses, etc., Latin,Juvenile fiction,Chinese Cooking,Picture books,Children's fiction,Roses, fiction,Chinese, united states, fiction,Accessible book,Protected DAISY"
Papa Panov's special day,Mig Holder,"Fables,Christmas,Children's stories,Fiction,Christmas, fiction,Children's fiction,Picture books,Accessible book,Protected DAISY"
Portable Pets,Abrams,"Puzzles, juvenile literature,Puzzles,Dinosaurs,Dinosaurs, juvenile literature,Children's fiction,Sea horses, fiction,Locusts, fiction,Snails, fiction,Picture books,Bees, fiction,Grasshoppers,Fiction,Sea horses,Triceratops,Juvenile literature,Toy and movable books,Specimens,Bumblebees,Bees,Snails"
Oxford Reading Tree,Jo Apperley,"Children's fiction,Kidnapping, fiction,Readers,Picture books,Children's stories, English,Readers (Primary),Accessible book,Protected DAISY"
"It's Justin Time, Amber Brown",Paula Danziger,"Picture books,Spanish language materials,Birthdays,Fiction,Time,Best friends,Clocks and watches,Cumpleaños,Tiempo,Amber Brown (Fictitious character),Juvenile fiction,Ficción juvenil,Relojes,Accessible book,Protected DAISY"
In the Attic,Satoshi Kitamura,"Fiction,Imagination,Attics,Children's stories, Japanese,Children's fiction,Imagination, fiction,Houses, fiction,Picture books,Accessible book,Protected DAISY"
Little Cloud,Eric Carle,"Big books,Clouds,Fiction,Juvenile fiction,Picture Books,Juvenile Literature,Children's fiction,Imagination, fiction,Weather, fiction,Toy and movable books,Sheep, fiction,JUVENILE FICTION / Classics,JUVENILE FICTION / Concepts / Size & Shape,JUVENILE FICTION / Nature & the Natural World / Weather,Accessible book,Protected DAISY"
We Found a Hat,Jon Klassen,"humor,picture books,Juvenile Fiction,juvenile literature,JUVENILE FICTION / Social Themes / Friendship,Lost and found possessions,Turtles,JUVENILE FICTION / Humorous Stories,Picture books for children,Hats,Fiction,JUVENILE FICTION / Animals,nyt:picture-books=2016-10-30,New York Times bestseller,Children's fiction,Turtles, fiction,Hats, fiction,American Humorous stories,Bears,Friendship,American literature"
Frog and Toad (Days with Frog and Toad / Frog and Toad All Year / Frog and Toad Are Friends / Frog and Toad Together),Arnold Lobel,"amistad,amitie,amitié,animals,beginner,beginning reader,best friends,books and reading,chapter book,children's fiction,children's short stories in english,children's stories,classics,comedy & humor,cookies,courage,crapauds,dragons,easy books,emotions & feelings,ficción juvenil,fiction,Fiction,accelerated reader 1.4,friendship,frogs,frogs & toads,Frogs, fiction,gardens,giants,grenouilles,humor & funny stories,i can read book,juvenile audience,juvenile fiction,juvenile literature,juvenile works,kindness,lectures et morceaux choisis,lexile 301-400,litterature de jeunesse anglaise,littérature de jeunesse anglaise,loyalty,materiales en español,newbery honor,novela juvenil,open library staff picks,ouvrages illustres,ouvrages illustrés,ouvrages illustrés,ouvrages pour la jeunesse,pictorial works,picture books,primary school,ranas,rants,reader,readers,readers (primary),saisons,sapos,sharing,sharing & cooperating,short stories,short stories for young readers,social themes,Spanish language,Spanish language materials,study and teaching,toads,vocabulary,Accessible book,Protected DAISY"
A tale for Easter,Tasha Tudor,"Easter,Juvenile fiction,Fiction,Animals,Children's fiction,Easter, fiction,Picture books,Easter stories,Board books,Toy and movable books,Accessible book,Protected DAISY"
Katie's Picture Show,James Mayhew,"Museums,Fiction,Art appreciation,Child and youth fiction,Art museums,Pictorial works,Juvenile fiction,Children's fiction,Picture books,Art, fiction,Accessible book,Protected DAISY"
Zog,Julia Donaldson,"Children's fiction,Dragons, fiction,Stories in rhyme,Humorous stories,Schule,Juvenile fiction,Fiction,Princesses,Schools,Drache,Jungtiere,Dragons,Pictorial works,Picture books,Readers,Accessible book,Protected DAISY"
Paddington at the Tower,R. W. Alley,"Teddy bears,Bears,Fiction,Sandwiches,Bears in fiction,Ravens,Tower of London (London, England),Children's fiction,Paddington bear (fictitious character), fiction,Picture books,London (england), fiction,Juvenile fiction,Accessible book,Protected DAISY"
Lost and found,Oliver Jeffers,"Lost and found possessions,Juvenile fiction,Fiction,Voyages and travels,Penguins,Friendship,Children's fiction,Penguins, fiction,Friendship, fiction,Voyages and travels, fiction,Viajes,Lost articles,Amistad,Objetos perdidos,Spanish language materials,Pingüinos,Picture books,Loneliness, fiction,Stars, fiction,Accessible book,Protected DAISY"
Truck,Donald Crews,"Trucks,Stories without words,Fiction,Juvenile literature,Juvenile fiction,Pictorial works,Children's fiction,Trucks, fiction,Picture books,Trucks, juvenile literature,collectionID:caldecotthonor80,Accessible book,Protected DAISY"
"Dinosaurs, dinosaurs",Byron Barton,"Dinosaurs,Juvenile literature,Extinct animals,Fiction,Children's fiction,Dinosaurs, fiction,Dinosaurs, juvenile literature,Pictorial works,Picture books,Accessible book,Protected DAISY"
Rain,Robert Kalan,"Rain and rainfall,Juvenile literature,Interdisciplinary approach in education,Reading (Elementary),Children: Babies Toddlers,Picture books,Picture books for children,Accessible book,Protected DAISY"
The wreck of the Zephyr,Chris Van Allsburg,"Children's fiction,Adventure and adventurers, fiction,Boats and boating, fiction,Imagination, fiction,Fantasy fiction,Picture books,Épaves,Ouvrages pour la jeunesse,Accessible book,Protected DAISY"
The Puppy Who Wanted a Boy,Jane Thayer,"Fiction,Dogs,Christmas,Juvenile fiction,Christmas stories,Television,TV Movies,Films,Motion Pictures,Adapted for Television,ABC Weekend Specials,picture books,animal stories,Christmas, fiction,Dogs, fiction,Children's fiction,Accessible book,Protected DAISY"
The storm book,Charlotte Zolotow,"Storms,Fiction,Juvenile fiction,Weather,Caldecott Honor Book 1953,Children's fiction,Storms, fiction,collectionID:caldecotthonor50,Picture books,Adventure and adventurers, fiction,Accessible book,Protected DAISY"
The House on East 88th Street,Bernard Waber,"Crocodiles,Crocodiles in fiction,Fiction,Juvenile fiction,Children's fiction,Crocodiles, fiction,Picture books,Accessible book,Protected DAISY"
Tuesday,David Wiesner,"Frogs,Fiction,Juvenile fiction,wordless book,picture book,Stories without words,Night,Lily pads,Animals,Picture books,Fantasy & Magic,Histoires sans paroles,Grenouilles,Romans, nouvelles, etc. pour la jeunesse,Nature & the Natural World,1991,Dust jackets (Bindings),Frogs & Toads,Pictorial works,Frogs, fiction,Children's fiction,Flight,Adventure and adventurers, fiction,collectionID:caldecott90,Friendship, fiction,Accessible book,Protected DAISY"
